ws_diff,ws_diff_bin,steps_diff
-35.0,"(-48, -16]",874.4300000000003
-35.0,"(-48, -16]",384.0
-35.0,"(-48, -16]",-7086.080000000003
-35.0,"(-48, -16]",705.7727272727275
-35.0,"(-48, -16]",-1557.415059407229
-34.0,"(-48, -16]",-563.25
-34.0,"(-48, -16]",621.1387559808609
-34.0,"(-48, -16]",808.1176470588234
-34.0,"(-48, -16]",-4327.359286436233
-34.0,"(-48, -16]",1020.5
-34.0,"(-48, -16]",-173.7700000000004
-34.0,"(-48, -16]",-1318.7402502650748
-34.0,"(-48, -16]",3683.236842105263
-34.0,"(-48, -16]",1294.2726693175418
-34.0,"(-48, -16]",191.97233201581048
-34.0,"(-48, -16]",-2321.21380286784
-34.0,"(-48, -16]",1472.5133779264215
-34.0,"(-48, -16]",642.090909090909
-34.0,"(-48, -16]",219.94466403162048
-34.0,"(-48, -16]",-15.17216117216094
-34.0,"(-48, -16]",-5449.807692307692
-34.0,"(-48, -16]",-425.11403508771895
-34.0,"(-48, -16]",-450.2288555146912
-34.0,"(-48, -16]",-1445.6269841269839
-34.0,"(-48, -16]",-1289.0
-34.0,"(-48, -16]",-2866.0169230769234
-34.0,"(-48, -16]",226.1835748792273
-34.0,"(-48, -16]",-2682.902777777777
-34.0,"(-48, -16]",2932.916666666667
-34.0,"(-48, -16]",-1243.608333333333
-34.0,"(-48, -16]",760.5476190476187
-34.0,"(-48, -16]",1526.092307692307
-34.0,"(-48, -16]",-1035.3333333333335
-34.0,"(-48, -16]",6308.26
-34.0,"(-48, -16]",-555.7285714285717
-34.0,"(-48, -16]",398.0416666666665
-33.0,"(-48, -16]",3746.666666666666
-33.0,"(-48, -16]",-132.86478069275378
-33.0,"(-48, -16]",1050.0769230769229
-33.0,"(-48, -16]",1282.3653846153848
-33.0,"(-48, -16]",1987.9126984126974
-33.0,"(-48, -16]",-2063.5565217391304
-33.0,"(-48, -16]",-855.7142857142853
-33.0,"(-48, -16]",-4019.525
-33.0,"(-48, -16]",-356.6785714285716
-33.0,"(-48, -16]",-6501.06923076923
-33.0,"(-48, -16]",-3.3226734801003204
